y,S,Derivative,(negative derivative),Alt derivative (doesn't change any values because already evenly spaced),,,,,
6.5,0.3539,-0.006,0.006,,,,,,
6.55,0.3536,-0.001,0.001,-0.001,,,,,moving left
6.6,0.3538,0.001,-0.001,0.001,,,,,
6.65,0.3537,-0.001,0.001,-0.001,,,,,
6.7,0.3537,0.001,-0.001,0.001,,,,,
6.75,0.3538,-0.001,0.001,-0.001,,,,,
6.8,0.3536,-0.002,0.002,-0.002,,,,,
6.85,0.3536,-0.001,0.001,-0.001,,,,,
6.9,0.3535,-0.002,0.002,-0.002,,,,,
6.95,0.3534,0.002,-0.002,0.002,,,,,
7,0.3537,-0.002,0.002,-0.002,,,,,
7.05,0.3532,-0.007,0.007,-0.007,,,,,
7.1,0.353,-0.005,0.005,-0.005,,,,,
7.15,0.3527,-0.008,0.008,-0.008,,,,,
7.2,0.3522,-0.012,0.012,-0.012,,,,,
7.25,0.3515,-0.017,0.017,-0.017,,,,,
7.3,0.3505,-0.017,0.017,-0.017,,,,,
7.35,0.3498,-0.023,0.023,-0.023,,,,,
7.4,0.3482,-0.032,0.032,-0.032,,,,,
7.45,0.3466,-0.039,0.039,-0.039,,,,,
7.5,0.3443,-0.047,0.047,-0.047,,,,,
7.55,0.3419,-0.055,0.055,-0.055,,,,,
7.6,0.3388,-0.069,0.069,-0.069,,,,,
7.65,0.335,-0.082,0.082,-0.082,,,,,
7.7,0.3306,-0.103,0.103,-0.103,,,,,
7.75,0.3247,-0.122,0.122,-0.122,,,,,
7.8,0.3184,-0.138,0.138,-0.138,,,,,
7.85,0.3109,-0.166,0.166,-0.166,,,,,
7.9,0.3018,-0.193,0.193,-0.193,,,,,
7.95,0.2916,-0.21,0.21,-0.21,,,,,
8,0.2808,-0.236,0.236,-0.236,,,,,
8.05,0.268,-0.245,0.245,-0.245,,,,,
8.1,0.2563,-0.252,0.252,-0.252,,,,,
8.15,0.2428,-0.275,0.275,-0.275,,,,,
8.2,0.2288,-0.29,0.29,-0.29,,,,,
8.25,0.2138,-0.31,0.31,-0.31,,,,,
8.3,0.1978,-0.321,0.321,-0.321,,,,,
8.35,0.1817,-0.318,0.318,-0.318,,,,,
8.4,0.166,-0.324,0.324,-0.324,,,,,
8.45,0.1493,-0.33,0.33,-0.33,,,,,
8.5,0.133,-0.319,0.319,-0.319,,,,,
8.55,0.1174,-0.311,0.311,-0.311,,,,,
8.6,0.1019,-0.289,0.289,-0.289,,,,,
8.65,0.0885,-0.262,0.262,-0.262,,,,,
8.7,0.0757,-0.253,0.253,-0.253,,,,,
8.75,0.0632,-0.224,0.224,-0.224,,,,,
8.8,0.0533,-0.191,0.191,-0.191,,,,,
8.85,0.0441,-0.171,0.171,-0.171,,,,,
8.9,0.0362,-0.147,0.147,-0.147,,,,,
8.95,0.0294,-0.129,0.129,-0.129,,,,,
9,0.0233,-0.108,0.108,-0.108,,,,,
9.05,0.0186,-0.09,0.09,-0.09,,,,,
9.1,0.0143,-0.077,0.077,-0.077,,,,,
9.15,0.0109,-0.06,0.06,-0.06,,,,,
9.2,0.0083,-0.05,0.05,-0.05,,,,,
9.25,0.0059,-0.044,0.044,-0.044,,,,,
9.3,0.0039,-0.036,0.036,-0.036,,,,,
9.35,0.0023,-0.031,0.031,-0.031,,,,,
9.4,0.0008,-0.015,0.015,-0.015,,,,,
9.45,0.0008,-0.008,0.008,-0.008,,,,,
9.5,0,-0.008,0.008,-0.008,,,,,
9.55,0,0,0,0,,,,,
9.6,0,0,0,0,,,,,
9.65,0,0,0,0,,,,,
9.7,0,0,0,0,,,,,
9.75,0,0,0,,,,,,